raw_date,net_flows,price,supply,circulating_supply,reserves,liquidity
2021/05/30,128710.0354,183.2919183,374855.1628,284137.5938,4198359.557,11388819.91
2021/05/31,234383.8917,196.8704084,407031.2747,315170.6601,4230655.02,11776834.43
2021/06/01,-76404.099,206.3435522,378249.615,297666.6857,4309442.159,11752156.33
2021/06/02,6606.545441,199.8052882,381335.0138,299209.3851,4549680.254,11804062.91
2021/06/03,-65443.28922,204.398864,383946.8078,300515.2821,4589003.534,11860865.52
2021/06/04,22181.38,197.3439782,384204.8719,300644.3141,4610825.691,11881951.24
2021/06/05,299934.2209,209.1146986,386131.1041,311607.4302,4716339.871,12465102.98
2021/06/06,349930.0659,230.0724978,388111.7026,312597.7295,4833538.371,13143829.85
2021/06/07,246876.5564,238.4048137,389524.9572,313454.9563,4905560.622,13611700.01
2021/06/08,-146787.1085,239.7026732,390928.4906,324241.8442,4995718.229,13395755.69
2021/06/09,-27787.21346,244.6774571,392540.4226,326442.7666,5088699.464,13366754.98
2021/06/10,83551.7568,245.0401967,400924.859,333522.1558,5174423.117,13698013.3
2021/06/11,-611070.2033,232.7747169,407385.086,339478.6263,5281500.528,12663306.7
2021/06/12,57232.28975,207.8227101,414105.7006,345561.435,5358728.802,12793394.47
2021/06/13,215955.6598,202.1146616,423351.7951,352951.3935,5463991.863,13383905.47
2021/06/14,-324363.8859,214.6992721,431234.6473,359943.7537,5545251.968,12879200.14
2021/06/15,1089252.143,217.551343,442760.3222,368657.687,5728827.906,14860150.71
2021/06/16,-329109.532,235.7570179,450486.4435,375989.4979,5786323.491,14335685.46
2021/06/17,298167.7582,243.0128464,458518.1847,382064.3936,5937352.836,15120507.12
2021/06/18,23406.28916,249.3597461,469678.1351,391773.6647,6094319.821,15299361.64
2021/06/19,826955.7177,279.1213163,478149.4543,398125.9835,6283796.179,17011462.5
2021/06/20,438666.9968,312.0826421,487765.7843,406158.2168,6441569.119,18032240.11
2021/06/21,-7558.15288,336.592983,497869.4849,414558.9304,6802991.913,18006160.22
2021/06/22,-1262464.151,266.1704527,504512.1296,420338.2791,6883000.928,15946570.35
2021/06/23,791047.364,270.5876629,515560.5622,429295.1424,7186274.341,17532503.09
2021/06/24,153610.5124,286.4838436,527105.1648,438600.193,7543488.607,18017153.38
2021/06/25,162105.8258,282.2338227,537423.2811,447242.9661,7739862.869,18575150.84
2021/06/26,296181.9118,300.307334,547054.1609,455439.7945,7966370.117,19262430.46
2021/06/27,464344.2877,328.8394686,558818.9702,464759.0936,8394376.188,20382326.44
2021/06/28,-83936.82174,335.0213988,569249.3167,473495.4673,8665807.154,20441188.96
2021/06/29,501491.384,346.8563287,581784.2993,483569.414,9064863.027,21694733.63
2021/06/30,1125289.339,386.3012136,593888.1451,493115.5924,9543590.055,23996246.11
2021/07/01,296833.1948,434.5570633,606213.3148,503806.1331,9816501.646,25173009.77
2021/07/02,617618.6092,450.4258485,618723.9939,513621.65,10316005.94,26781105.73
2021/07/03,141312.0999,473.719044,627927.417,520652.0222,10798243.9,28520821.57
2021/07/04,434923.7143,481.2672085,640460.0188,530971.9688,11364140.54,29809184.35
2021/07/05,-692274.0184,485.6821941,653186.8105,541319.7366,11710888.35,29138054.11
2021/07/06,-1040747.661,437.7124567,663084.1699,550385.1156,11800777.38,27486260.94
2021/07/07,62823.41546,373.0743268,674330.1557,559684.2208,12115971.26,27935143.88
2021/07/08,-489767.278,398.9077464,686762.0604,569880.4954,12484759.53,27514425.75
2021/07/09,552664.0856,384.6779429,700088.7703,580449.0234,12910723.44,29146741.44
2021/07/10,270120.0475,402.9724557,712845.2945,590657.8987,13276956.22,30278863.93
2021/07/11,207752.0889,418.0756249,724734.1935,600467.0505,13670940.27,31087425.66
2021/07/12,3313.696843,420.875207,739139.056,611616.3435,14222820.87,31868432.56
2021/07/13,729983.3032,444.9858861,753907.5368,623234.7301,14823669.5,33909527.95
2021/07/14,716042.4537,476.9506274,768690.1554,635612.813,15361130.61,35973222.31
2021/07/15,-82161.88565,480.0972994,780443.4018,644476.0058,15711370.07,36783787.37
2021/07/16,218890.3964,484.7711842,795775.1369,656626.3522,16184035.71,38399468.01
2021/07/17,1440716.613,537.5936564,812042.5518,669225.8299,16822117.32,42350578.51
2021/07/18,193351.2308,562.226278,826368.9438,680686.932,17302606.33,43801874.64
2021/07/19,-660221.1988,576.4615658,840668.9401,692284.9292,17689932.04,43605163.56
2021/07/20,328785.7416,502.3471189,855724.4817,704656.2649,18170806.37,44913359.62
2021/07/21,525182.399,570.0888878,870863.7025,716862.719,18661759.19,47114648.93
2021/07/22,1239007.52,618.0966897,887391.7929,729743.8006,19411770.62,50789641.9
2021/07/23,229999.9423,628.8629014,902811.2064,742154.112,19987385.06,52416495
2021/07/24,-1292398.592,589.3228564,916647.0744,753846.8185,20232111.76,50792501.65
2021/07/25,-641153.2012,568.6294461,929367.8258,763435.0631,20845307.54,50660719.07
2021/07/26,-420994.4017,522.9436287,943514.8349,775415.0156,21122484.92,50676088.89
2021/07/27,1325032.695,548.1371803,961087.274,789193.2765,21816784.8,54494029.86
2021/07/28,-65133.98602,585.4738085,977312.6172,802394.6108,22333591.87,55588277.18
2021/07/29,-1372116.743,515.0663973,992356.1125,815083.178,22797385.26,53363937.34
